Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_Wildtype_1_30_S1.sorted_PDUI	Synthego_Wildtype_1_32_S3.sorted_PDUI	Synthego_Wildtype_2_2_S5.sorted_PDUI	Synthego_Wildtype_24hour_A_S58.sorted_PDUI	Synthego_Wildtype_24hour_B_S53.sorted_PDUI	Synthego_Wildtype_24hour_C_S48.sorted_PDUI	Synthego_Wildtype_4hour_A1_S45.sorted_PDUI	Synthego_Wildtype_4hour_A2_S46.sorted_PDUI	Synthego_Wildtype_4hour_B_S51.sorted_PDUI	Synthego_Wildtype_4hour_C_S52.sorted_PDUI	Synthego_Wildtype_Control_A_S44.sorted_PDUI	Synthego_Wildtype_Control_B_S60.sorted_PDUI	Synthego_Wildtype_Control_C_S47.sorted_PDUI	Synthego_Wildtype_Cytoplasm1_S68.sorted_PDUI	Synthego_Wildtype_Cytoplasm2_S69.sorted_PDUI	Synthego_Wildtype_Cytoplasm3_S70.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24.sorted_PDUI	Synthego_Wildtype_Nuclear1_S62.sorted_PDUI	Synthego_Wildtype_Nuclear2_S63.sorted_PDUI	Synthego_Wildtype_Nuclear3_S64.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12.sorted_PDUI	mean	sd
XM_017000140.1|GLMN|chr1|-	30.2	92246485	chr1:92245813-92246646	0.07	0.06	0	0	0.08	0.09	0	0.06	0.02	0.07	0.02	0.07	0.04	0	0	0	0.04	0.07	0.04	0.03	0.08	0.02	0.07	0.07	0.03	0	0.06	0	0.08	0.02	0.04	0.03	0.06	0.07	0.0408823529411765	0.0300875134735852
NM_053274.3|GLMN|chr1|-	83.3	92246493	chr1:92246402-92246646	0.57	0.5	0	0	0.61	0.66	0	0.45	0.14	0.5	0.24	0.52	0.31	0	0	0	0.35	0.65	0.37	0.2	0.54	0.16	0.57	0.18	0.28	0	0.7	0	0.68	0.21	0.39	0.26	0.51	0.42	0.322647058823529	0.237847784575453
NM_018136.5|ASPM|chr1|-	404.9	197084275	chr1:197084127-197084426	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0.323529411764706	0.474858079933817
NM_024011.4|CDK11A|chr1|-	1125.5	1702729	chr1:1702379-1702999	0	0.08	0.06	0	0	0.06	0	0	0.09	0	0.1	0	0.16	0.02	0	0.01	0.04	0.04	0	0	0	0	0	0.03	0	0.03	0	0.04	0	0	0	0.05	0.03	0	0.0247058823529412	0.0377580249642094
NM_002074.5|GNB1|chr1|-	7957	1786751	chr1:1785286-1787053	0.03	0.02	0.01	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.02	0.04	0.03	0.2	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.22	0.16	0.05	0.06	0.05	0.05	0.05	0.05	0.065	0.0614595210465614
XM_024446495.1|GNB1|chr1|-	7979.3	1786751	chr1:1785290-1787053	0.03	0.02	0.01	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.02	0.04	0.03	0.2	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.23	0.16	0.05	0.06	0.05	0.05	0.05	0.05	0.0652941176470588	0.0622426967417279
XM_017001060.2|GNB1|chr1|-	7984.9	1786751	chr1:1785292-1787053	0.03	0.02	0.01	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.02	0.04	0.03	0.2	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.23	0.16	0.05	0.06	0.05	0.05	0.05	0.05	0.0652941176470588	0.0622426967417279
NM_001195563.2|CAMTA1|chr1|+	4686.2	6871908	chr1:6871757-6872016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_017000781.1|CAMTA1|chr1|+	4738.7	6871908	chr1:6871757-6872040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_032315.3|SLC25A33|chr1|+	3710.3	9582772	chr1:9582299-9585173	0.01	0	0	0.02	0	0	0	0.01	0	0	0	0	0	0.03	0.03	0.04	0.02	0.01	0	0.02	0	0	0	0	0	0	0.05	0.06	0	0	0.01	0.01	0	0.01	0.00970588235294118	0.015664144371616
NR_027504.1|MST1P2|chr1|+	425007.3	16650337	chr1:16650074-16650420	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_003000.3|SDHB|chr1|-	13925.8	17018807	chr1:17018722-17018958	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_032236.8|USP48|chr1|-	597.1	21678901	chr1:21678298-21679439	0.16	0	0	0.07	0	0.06	0	0	0.05	0.04	0.08	0.09	0.12	0.04	0.06	0.03	0.11	0.14	0	0.03	0	0	0.07	0.13	0.06	0.03	0	0.02	0	0	0.15	0.12	0	0.04	0.05	0.051049589675732
XM_011542267.3|USP48|chr1|-	592.4	21679249	chr1:21678902-21679439	0.72	0	0	0.91	0	0.81	0	0	0.66	0.71	1	0.88	0.82	1	1	1	0.83	0.82	0	0.88	0	0	0.49	0.61	0.87	1	0	1	0	0	0.65	0.64	0	0.45	0.522058823529412	0.414215427860144
NM_013943.3|CLIC4|chr1|+	22.4	24840949	chr1:24840773-24844321	0	0	0.07	0	0.1	0.06	0	0.1	0.1	0.08	0.13	0	0.08	0	0	0.2	0.21	0.13	0.12	0.1	0	0.07	0.08	0.09	0.1	0	0	0	0	0.07	0.15	0.11	0	0.07	0.0652941176470588	0.0609140126247348
NM_005517.4|HMGN2|chr1|+	210478.5	26475971	chr1:26475113-26476642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_017846.5|TRNAU1AP|chr1|+	986.8	28577763	chr1:28577500-28578538	0.01	0	0	0.01	0	0.02	0	0.01	0.01	0.01	0.02	0.02	0	0	0.02	0	0.02	0	0	0.02	0.01	0.01	0.01	0	0	0	0.06	0	0	0.01	0.01	0.01	0	0.01	0.00882352941176471	0.0117459743928932
NM_001282570.2|ZCCHC17|chr1|+	54	31364183	chr1:31364032-31364936	0.5	0	0	0.26	0.06	0.32	0	0.32	0	0.19	0.28	0.19	0.14	0.97	1	0	0.45	0.33	0.25	0.67	0.13	0.27	0.18	0.36	0.22	0	0.38	1	0.13	0.19	0.18	0.25	0.11	0.23	0.281176470588235	0.271324078904225
XM_006710681.4|ZCCHC17|chr1|+	299.2	31364936	chr1:31364032-31365253	0.04	0	0	0	0	0.04	0	0.01	0	0	0.02	0.25	0	0.01	0	0	0	0.09	0	0.02	0	0.02	0.02	0.01	0.04	0	0	0.07	0.12	0.01	0.01	0.03	0.02	0.01	0.0247058823529412	0.0484446134302874
XM_017001137.2|ZBTB8OS|chr1|-	1386.3	32621797	chr1:32620818-32621948	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147058823529412	0.00359490627953571
NM_178547.5|ZBTB8OS|chr1|-	1389.2	32621797	chr1:32620820-32621948	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117647058823529	0.00327034970083864
NM_001366271.1|ZBTB8OS|chr1|-	1534.7	32621790	chr1:32620820-32621941	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.00147058823529412	0.00359490627953571
NM_020365.5|EIF2B3|chr1|-	184.3	44850840	chr1:44850522-44851003	0.1	0.06	0.04	0.02	0.04	0.08	0.13	0.09	0.1	0.04	0.05	0.11	0.04	0.09	0.1	0.11	0.09	0.07	0.06	0.04	0.04	0.06	0.09	0.05	0.09	0.14	0	0.03	0.03	0.05	0.07	0.08	0.07	0.05	0.0679411764705882	0.0322658851424925
XM_017002747.1|EIF2B3|chr1|-	346.6	44850840	chr1:44850778-44851003	0.36	0.28	0.18	0.1	0.15	0.34	0.48	0.3	0.37	0.14	0.21	0.41	0.17	0.35	0.39	0.43	0.34	0.3	0.25	0.15	0.14	0.22	0.32	0.19	0.37	0.61	0.03	0.12	0.11	0.2	0.26	0.3	0.27	0.21	0.266176470588235	0.123730271298703
NM_001195193.2|NASP|chr1|+	36674.8	45618244	chr1:45618061-45618893	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0.01	0.01	0.01	0.01	0	0.01	0	0	0	0.01	0.01	0	0	0.005	0.00507519218922552
XM_011541731.1|FGGY|chr1|+	731.1	59762675	chr1:59762503-59762730	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0.5	0.507519218922552
NM_001350796.2|FGGY|chr1|+	760.8	59762673	chr1:59762503-59762727	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0.5	0.507519218922552
NM_001286044.2|ACADM|chr1|+	11804.1	75762843	chr1:75762692-75763679	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0.588235294117647	0.499554168435642
NM_201626.3|USP33|chr1|-	234.8	77711704	chr1:77711502-77711855	0.4	0	0	0.09	0.34	0	0.14	0.28	0.36	0.29	0.47	0.18	0.32	0.08	0.03	0.25	0.23	0.29	0.14	0.21	0.41	0.14	0.2	0.19	0.28	0.02	0.07	0.07	0.26	0.2	0.29	0.39	0.25	0.3	0.210882352941176	0.130066827743066
XR_002956838.1|TRMT13|chr1|+	56.5	100148045	chr1:100147894-100148227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.01	0	0	0	0.05	0	0.18	0	0.11	0.0117647058823529	0.0368839776527238
NM_017619.4|RNPC3|chr1|+	897.5	103555189	chr1:103555034-103555239	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0.705882352941177	0.46249729006288
NM_001205228.2|SORT1|chr1|-	47.7	109313801	chr1:109309575-109314057	0.02	0.01	0.01	0.02	0.03	0.03	0.04	0.02	0.04	0	0.04	0	0.01	0.01	0.01	0	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	0	0.01	0.02	0.02	0.01	0.01	0.03	0.02	0.0170588235294118	0.0111544017034467
XM_005271102.2|SORT1|chr1|-	48.5	109313801	chr1:109309644-109314057	0.02	0.01	0.01	0.02	0.03	0.03	0.04	0.02	0.04	0	0.04	0	0.01	0.01	0.01	0	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.03	0.03	0	0.01	0.02	0.02	0.01	0.01	0.03	0.02	0.0173529411764706	0.0113641711104127
XM_005270936.4|TRIM33|chr1|-	411.1	114397605	chr1:114392787-114397860	0.03	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0.03	0	0.01	0.02	0.01	0	0	0	0.02	0.01	0.02	0.00588235294117647	0.00957194355326071
NM_015906.4|TRIM33|chr1|-	411.3	114397605	chr1:114392790-114397860	0.03	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0.03	0	0.01	0.02	0.01	0	0	0	0.02	0.01	0.02	0.00588235294117647	0.00957194355326071
XM_024447584.1|TRIM33|chr1|-	21311.7	114397709	chr1:114397607-114397860	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0.323529411764706	0.474858079933817
NM_001348451.2|CHD1L|chr1|+	608517.3	147295582	chr1:147295431-147295762	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0.852941176470588	0.359490627953571
NM_001364007.2|NOTCH2NLB|chr1|-	3.1	148607008	chr1:148600285-148607159	0	0	0	0.01	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0.02	0.02	0	0.02	0.03	0	0	0	0	0.01	0	0	0	0.01	0.00588235294117647	0.00783064959526213
NM_001364013.2|NOTCH2NLC|chr1|+	1.7	149464228	chr1:149464077-149471833	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	0.05	0.01	0	0	0.01	0	0	0.00352941176470588	0.00917253903620838
NM_001330692.2|PSMD4|chr1|+	345014	151267324	chr1:151267173-151267460	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.911764705882353	0.287902241281237
NM_002810.4|PSMD4|chr1|+	515743.2	151267324	chr1:151267173-151267479	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.911764705882353	0.287902241281237
XM_011510024.2|SNX27|chr1|+	8.4	151694521	chr1:151694370-151699080	0.01	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.00294117647058824	0.00578891928193535
