Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_001139467.1|TBL1X|chrX|+	61.4	9716371	chrX:9716220-9719740	NA	NA	NA	NA	0.02	0.02	0.02	0.02	NA	0.01	NA	0.00	0.05	0.03	0.04	0.01	0.01	0.01	0.00	NA	0.01	0.01	NA	0.00	0.05	NA	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.02	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	0.02	NA	0.05	0.05	NA	0.01	0.03	0.01	0.01	0.01	0.02	0.03	0.01	0.01	0.03	0.05	0.07	0.01	0.01	0.02	0.03	0.01	0.03
XM_011545592.3|OFD1|chrX|+	260.8	13769222	chrX:13769066-13769353	0.06	0.19	NA	0.13	NA	0.00	NA	0.07	NA	0.09	NA	0.05	NA	NA	NA	0.33	0.08	0.10	0.18	0.00	0.16	0.01	0.00	0.07	NA	NA	NA	0.08	0.04	0.02	0.10	0.08	0.04	0.03	0.02	NA	0.09	0.06	0.00	NA	0.03	0.13	0.09	0.09	0.06	0.15	NA	NA	NA	0.20	NA	0.21	0.08	0.02	0.05	0.14	0.13	0.12	0.00	NA	NA	NA	0.13	0.06	0.06	0.12	0.06
NM_001330209.2|OFD1|chrX|+	257.4	13769222	chrX:13769066-13769357	0.06	0.19	NA	0.13	NA	0.00	NA	0.07	NA	0.09	NA	0.05	NA	NA	NA	0.33	0.09	0.10	0.18	0.00	0.16	0.01	0.00	0.07	NA	NA	NA	0.09	0.04	0.02	0.10	0.08	0.04	0.03	0.02	NA	0.09	0.06	0.00	NA	0.03	0.13	0.09	0.10	0.06	0.15	NA	NA	NA	0.20	NA	0.21	0.08	0.02	0.05	0.14	0.13	0.12	0.00	NA	NA	NA	0.14	0.07	0.06	0.12	0.06
XM_024452471.1|OFD1|chrX|+	41.2	13769222	chrX:13769066-13770922	0.01	0.02	NA	0.01	NA	0.00	NA	0.01	NA	0.01	NA	0.00	NA	NA	NA	0.03	0.01	0.01	0.02	0.00	0.02	0.00	0.00	0.01	NA	NA	NA	0.01	0.00	0.00	0.01	0.01	0.01	0.00	0.00	NA	0.01	0.01	0.00	NA	0.00	0.02	0.01	0.02	0.01	0.02	NA	NA	NA	0.02	NA	0.02	0.01	0.00	0.01	0.01	0.02	0.01	0.00	NA	NA	NA	0.02	0.01	0.01	0.01	0.01
NM_031407.7|HUWE1|chrX|-	10546.7	53532790	chrX:53532096-53533411	NA	NA	NA	0.02	NA	NA	0.01	0.00	NA	0.01	NA	NA	0.00	0.00	NA	0.01	0.01	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	0.01	0.01	NA	0.01	0.00	NA	0.01	0.01	0.00	0.00	NA	0.00	NA	NA	0.00	NA	0.01	NA	0.01	0.00	NA	NA	0.00	0.01	0.00	0.01	NA	NA	0.00	NA	0.01	NA	0.02	NA	NA	0.01	0.00	0.01	NA	0.00
XM_017029204.1|HUWE1|chrX|-	5141.6	53533189	chrX:53532790-53533411	NA	NA	NA	0.21	NA	NA	0.18	0.17	NA	0.16	NA	NA	0.01	0.01	NA	0.24	0.21	0.06	0.18	NA	NA	0.15	0.19	NA	NA	NA	NA	0.10	0.20	NA	0.07	0.07	NA	0.23	0.14	0.32	0.11	NA	0.19	NA	NA	0.17	NA	0.24	NA	0.29	0.01	NA	NA	0.16	0.38	0.16	0.30	NA	NA	0.16	NA	0.13	NA	0.04	NA	NA	0.01	0.10	0.06	NA	0.15
NM_004299.6|ABCB7|chrX|-	608.0	75053280	chrX:75051048-75053585	NA	NA	NA	0.03	NA	NA	0.01	NA	NA	0.01	NA	NA	0.01	0.02	0.00	0.01	NA	0.01	0.01	0.01	0.01	NA	NA	0.01	NA	0.06	0.02	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.02	NA	NA	0.01	0.02	NA	0.01	NA	0.01	0.01	NA	0.02	NA	0.02	0.00	0.01	0.01	0.02	0.02	0.01	0.01
NM_000354.6|SERPINA7|chrX|-	15634.3	106033205	chrX:106032435-106033703	0.01	0.01	NA	0.01	0.01	0.01	0.01	0.01	0.01	NA	NA	0.01	0.01	NA	NA	0.01	0.01	0.01	0.01	NA	0.01	NA	0.01	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	NA	0.01	0.01	0.01	0.01	NA	0.01	0.01	0.01	0.01	0.01	0.01	NA	0.01	NA	0.01	0.01	NA	0.01	NA	0.01	0.01	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_002294.3|LAMP2|chrX|-	469.0	120430940	chrX:120426148-120431462	0.01	0.01	NA	0.01	0.01	NA	0.01	NA	NA	0.00	NA	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	NA	NA	NA	0.01	0.00	NA	0.01	NA	NA	0.00	0.00	0.00	0.01	0.01	0.01	NA	0.01	0.00	NA	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.02	NA	0.00	0.00	0.01	NA	0.01
NM_001130847.4|AIFM1|chrX|-	216284.8	130129477	chrX:130129362-130129628	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00
