Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_G1_1_30_S2_PDUI	Synthego_G1_1_32_S4_PDUI	Synthego_G1_2_2_S6_PDUI	Synthego_G1_24hour_A_S43_PDUI	Synthego_G1_24hour_B_S57_PDUI	Synthego_G1_24hour_C_S59_PDUI	Synthego_G1_4hour_A_S54_PDUI	Synthego_G1_4hour_B_S55_PDUI	Synthego_G1_4hour_C_S56_PDUI	Synthego_G1_Control_A_S61_PDUI	Synthego_G1_Control_B_S50_PDUI	Synthego_G1_Control_C_S49_PDUI	Synthego_G1_Cytoplasm1_S71_PDUI	Synthego_G1_Cytoplasm2_S72_PDUI	Synthego_G1_Cytoplasm3_S73_PDUI	Synthego_G1_Ethanol_Control_2_S28_PDUI	Synthego_G1_Ethanol_Control_3_S29_PDUI	Synthego_G1_Ethanol_Control_4_S30_PDUI	Synthego_G1_Ethanol_Treated_24hour_2_S34_PDUI	Synthego_G1_Ethanol_Treated_24hour_3_S35_PDUI	Synthego_G1_Ethanol_Treated_24hour_4_S36_PDUI	Synthego_G1_Ethanol_Treated_3hour_2_S31_PDUI	Synthego_G1_Ethanol_Treated_3hour_3_S32_PDUI	Synthego_G1_Ethanol_Treated_3hour_4_S33_PDUI	Synthego_G1_Nuclear1_S65_PDUI	Synthego_G1_Nuclear2_S66_PDUI	Synthego_G1_Nuclear3_S67_PDUI	Synthego_G1_Peroxide_Treated_3hour_2_S16_PDUI	Synthego_G1_Peroxide_Treated_3hour_3_S17_PDUI	Synthego_G1_Peroxide_Treated_3hour_4_S18_PDUI	Synthego_G1_Peroxide_Treated_Control_2_S13_PDUI	Synthego_G1_Peroxide_Treated_Control_3_S14_PDUI	Synthego_G1_Peroxide_Treated_Control_4_S15_PDUI	Synthego_Wildtype_1_30_S1_PDUI	Synthego_Wildtype_1_32_S3_PDUI	Synthego_Wildtype_2_2_S5_PDUI	Synthego_Wildtype_24hour_A_S58_PDUI	Synthego_Wildtype_24hour_B_S53_PDUI	Synthego_Wildtype_24hour_C_S48_PDUI	Synthego_Wildtype_4hour_A1_S45_PDUI	Synthego_Wildtype_4hour_A2_S46_PDUI	Synthego_Wildtype_4hour_B_S51_PDUI	Synthego_Wildtype_4hour_C_S52_PDUI	Synthego_Wildtype_Control_A_S44_PDUI	Synthego_Wildtype_Control_B_S60_PDUI	Synthego_Wildtype_Control_C_S47_PDUI	Synthego_Wildtype_Cytoplasm1_S68_PDUI	Synthego_Wildtype_Cytoplasm2_S69_PDUI	Synthego_Wildtype_Cytoplasm3_S70_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24_PDUI	Synthego_Wildtype_Nuclear1_S62_PDUI	Synthego_Wildtype_Nuclear2_S63_PDUI	Synthego_Wildtype_Nuclear3_S64_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12_PDUI
NM_002074.5|GNB1|chr1|-	8275.3	1786751	chr1:1785286-1787053	0.03	0.02	0.01	0.02	0.06	NA	0.03	0.03	NA	0.07	NA	NA	0.20	0.14	0.12	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.02	0.03	NA	NA	NA	0.05	0.06	0.04	0.04	0.03	0.06	0.03	0.02	0.01	0.03	NA	0.02	NA	NA	0.03	NA	0.02	NA	0.03	0.20	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.22	0.16	0.05	0.06	0.05	0.05	0.05	0.05
XM_024446495.1|GNB1|chr1|-	8298.5	1786751	chr1:1785290-1787053	0.03	0.02	0.01	0.02	0.06	NA	0.03	0.03	NA	0.07	NA	NA	0.20	0.14	0.12	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.02	0.03	NA	NA	NA	0.05	0.06	0.04	0.04	0.03	0.06	0.03	0.02	0.01	0.03	NA	0.02	NA	NA	0.03	NA	0.02	NA	0.03	0.20	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.23	0.16	0.05	0.06	0.05	0.05	0.05	0.05
XM_017001060.2|GNB1|chr1|-	8304.4	1786751	chr1:1785292-1787053	0.02	0.02	0.01	0.02	0.06	NA	0.03	0.03	NA	0.07	NA	NA	0.20	0.14	0.12	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.02	0.03	NA	NA	NA	0.05	0.06	0.04	0.04	0.03	0.06	0.03	0.02	0.01	0.03	NA	0.02	NA	NA	0.03	NA	0.02	NA	0.03	0.20	0.17	0.12	0.07	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.05	0.25	0.23	0.16	0.05	0.06	0.05	0.05	0.05	0.05
NM_001195563.2|CAMTA1|chr1|+	4933.9	6871908	chr1:6871757-6872016	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
XM_017000781.1|CAMTA1|chr1|+	4965.7	6871908	chr1:6871757-6872040	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NR_027504.1|MST1P2|chr1|+	321629.8	16650337	chr1:16650074-16650420	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_003000.3|SDHB|chr1|-	15275.4	17018807	chr1:17018722-17018958	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00
NM_005517.4|HMGN2|chr1|+	188926.5	26475971	chr1:26475113-26476642	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
XM_017001137.2|ZBTB8OS|chr1|-	1306.3	32621797	chr1:32620818-32621948	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.13	NA	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_178547.5|ZBTB8OS|chr1|-	1309.1	32621797	chr1:32620820-32621948	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.13	NA	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_001366271.1|ZBTB8OS|chr1|-	1446.7	32621790	chr1:32620820-32621941	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.14	NA	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_020365.5|EIF2B3|chr1|-	175.6	44850840	chr1:44850522-44851003	0.09	0.09	0.07	0.10	0.04	NA	0.08	0.06	NA	0.04	NA	0.05	0.06	0.09	0.04	0.07	0.09	0.06	0.13	0.05	0.07	0.10	0.03	0.07	0.00	NA	0.04	0.08	0.06	0.08	0.08	0.08	0.08	0.10	0.06	0.04	0.02	0.04	0.08	0.13	0.09	0.10	0.04	0.05	0.11	0.04	0.09	0.10	0.11	0.09	0.07	0.06	0.04	0.04	0.06	0.09	0.05	0.09	0.14	0.00	0.03	0.03	0.05	0.07	0.08	0.07	0.05
XM_017002747.1|EIF2B3|chr1|-	328.6	44850840	chr1:44850778-44851003	0.35	0.29	0.31	0.37	0.14	NA	0.31	0.26	NA	0.17	NA	0.22	0.22	0.35	0.16	0.29	0.35	0.25	0.49	0.17	0.27	0.38	0.15	0.27	0.00	NA	0.14	0.31	0.24	0.29	0.31	0.32	0.31	0.36	0.28	0.18	0.10	0.15	0.34	0.48	0.30	0.37	0.14	0.21	0.41	0.17	0.35	0.39	0.43	0.34	0.30	0.25	0.15	0.14	0.22	0.32	0.19	0.37	0.61	0.03	0.12	0.11	0.20	0.26	0.30	0.27	0.21
NM_001195193.2|NASP|chr1|+	33746.2	45618244	chr1:45618061-45618893	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.00
NM_201626.3|USP33|chr1|-	291.3	77711704	chr1:77711502-77711855	NA	NA	NA	0.18	0.25	NA	0.14	0.28	0.23	0.27	NA	0.24	0.18	0.20	0.12	0.11	0.24	0.15	0.22	0.17	0.31	0.35	NA	0.29	0.00	0.00	0.02	0.33	0.25	0.32	0.19	0.36	0.23	NA	NA	NA	0.09	NA	NA	NA	0.28	NA	NA	NA	0.18	0.32	0.08	0.03	0.25	0.23	0.29	0.14	0.21	0.41	NA	0.20	0.19	0.28	0.02	0.07	0.07	0.26	0.20	0.29	0.39	0.25	0.30
NM_001205228.2|SORT1|chr1|-	50.9	109313801	chr1:109309575-109314057	NA	0.02	0.02	0.01	0.02	NA	0.04	NA	NA	0.01	NA	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.02	NA	NA	NA	0.03	0.01	0.03	0.01	0.02	0.02	0.02	0.01	0.01	0.02	NA	0.03	0.04	0.02	NA	NA	0.04	NA	0.01	0.01	0.01	NA	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	NA	0.01	0.02	0.02	0.01	0.01	0.03	0.02
XM_005271102.2|SORT1|chr1|-	51.7	109313801	chr1:109309644-109314057	NA	0.02	0.02	0.01	0.02	NA	0.04	NA	NA	0.01	NA	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.01	0.02	NA	NA	NA	0.03	0.01	0.03	0.01	0.02	0.02	0.02	0.01	0.01	0.02	NA	0.03	0.04	0.02	NA	NA	0.04	NA	0.01	0.01	0.01	NA	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.03	0.03	NA	0.01	0.02	0.02	0.01	0.01	0.03	0.02
NM_001330692.2|PSMD4|chr1|+	303617.8	151267324	chr1:151267173-151267460	1.00	NA	NA	1.00	NA	NA	1.00	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	1.00	NA	NA	1.00	1.00	NA	1.00	NA	NA	1.00	NA	1.00	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00
NM_002810.4|PSMD4|chr1|+	460128.7	151267324	chr1:151267173-151267479	1.00	NA	NA	1.00	NA	NA	1.00	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	NA	1.00	1.00	NA	NA	1.00	1.00	NA	1.00	NA	NA	1.00	NA	1.00	NA	NA	NA	NA	NA	NA	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00
XM_011510024.2|SNX27|chr1|+	10.5	151694521	chr1:151694370-151699080	NA	0.00	NA	0.00	0.00	0.00	0.00	NA	0.00	0.00	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	NA	0.01	0.00	NA	0.01	0.03	0.00	0.00	0.00	0.00	0.00	0.00	NA	NA	NA	NA	NA	NA	0.00	0.00	NA	NA	NA	0.01	0.00	NA	0.00	0.00	0.00	0.01	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00
NM_001282625.2|LMNA|chr1|+	730400.8	156137815	chr1:156137654-156137866	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
